title,url,excerpt
"To improve close rates for technical interviews, give applicants feedback (good or bad)",https://techcrunch.com/2023/02/06/to-improve-close-rates-for-technical-interviews-give-applicants-feedback-good-or-bad/,"Technical interviews are a black box — candidates usually are told whether they made it to the next round, but they rarely find out why."
Breef raises $16M to match brands with marketing agencies,https://techcrunch.com/2023/02/06/breef-raises-16m-to-match-brands-with-marketing-agencies/,"Breef, a platform that allows brands to manage and service marketing agency projects, today announced that it raised $16 million in a Series A round (an undisclosed portion of which was debt) led by G"
Choosing a cloud infrastructure provider: A beginner’s guide,https://techcrunch.com/2023/02/06/choosing-a-cloud-infrastructure-provider-a-beginners-guide/,It's essential to analyze the tools available before you decide on a cloud infrastructure provider to keep application maturity and running costs in check.
Meta fails in bid to be removed as a party from an exploitation lawsuit against it and moderation partner Sama in Kenya,https://techcrunch.com/2023/02/06/meta-fails-in-bid-to-be-removed-as-a-party-from-an-exploitation-lawsuit-against-it-and-moderation-partner-sama-in-kenya/,More drama is afoot for Facebook’s parent company Meta on the African continent. A Kenyan court today rejected Meta’s request to be removed as party in a lawsuit filed last year against it and
"Post Series-B, anti-fraud platform SEON acquires AML startup Complytron for a rumoured €2.5M",https://techcrunch.com/2023/02/05/post-series-b-anti-fraud-platform-seon-acquires-aml-startup-complytron-for-a-rumoured-e2-5m/,"Budapest-based SEON, — an anti-fraud platform which looks at a customer’s ‘digital footprint’ to weed out false accounts and thus prevent fraudulent transactions —  has acquired compliance"
Ovni Capital is a new French VC firm backing startups with global ambitions,https://techcrunch.com/2023/02/05/ovni-capital-is-a-new-french-vc-firm-backing-startups-with-global-ambitions/,"If you’re a French entrepreneur, there’s a new venture capital firm in town. Ovni Capital is announcing a first closing of its €50 million fund ($54 million at today’s exchange rate) focused o"
The solo GP behind iSeed SEA launches his second fund for Southeast Asia,https://techcrunch.com/2023/02/05/wing-vasiksiri/,"If you follow Southeast Asia funding, you’re probably familiar with iSeed SEA. Some of the startups the fund has invested in since it launched in 2020 include Dat Bike, Skuad and Upmesh. What you mi"
"Startups, here’s how you can make hardware without ruining the planet",https://techcrunch.com/2023/02/05/sustainable-hardware-startups/,"If you can't make planet-friendly choices as the founder of a startup, when the buck literally stops with you, when can you?"
"India to block over 230 betting and loan apps, many with China ties",https://techcrunch.com/2023/02/05/india-is-blocking-over-230-betting-and-loan-apps-many-with-ties-to-china/,"India is moving to block 232 apps, some with links to China, that offer betting and loan services in the South Asian market to prevent misuse of the citizens’ data, the state-owned public broadcaste"
Elon Musk says Twitter will provide a free write-only API to bots providing ‘good’ content,https://techcrunch.com/2023/02/04/elon-musk-says-twitter-will-provide-a-free-write-only-api-to-bots-providing-good-content/,"Last week, Twitter said it is shutting down free access to its APIs starting February 9. Now, days before the deadline, Elon Musk said that after getting feedback from developers, Twitter will provide"
"This Week in Apps: Instagram’s founders’ new app, another Twitter rival, Biden admin criticizes app stores",https://techcrunch.com/2023/02/04/this-week-in-apps-instagrams-founders-new-app-another-twitter-rival-biden-admin-criticizes-app-stores/,"This Week in Apps offers a way to keep up with this fast-moving industry in one place with the latest from the world of apps, including news, updates, startup fundings, M&As and more."
"Dear founders, returning to the office is a numbers game",https://techcrunch.com/2023/02/04/2023-is-the-year-of-the-bottom-line/,"Welcome to Startups Weekly, a nuanced take on this week’s startup news and trends by Senior Reporter and Equity co-host Natasha Mascarenhas. To get this in your inbox, subscribe here. Toward the end"
"Netflix crackdown, monetizing ChatGPT and bypassing FB’s 2FA",https://techcrunch.com/2023/02/04/netflix-crackdown-monetizing-chatgpt-and-bypassing-fbs-2fa/,"Happy weekend, folks, and welcome back to the TechCrunch Week in Review. Henry here, standing in for a vacationing Kyle Wiggers, who is standing in for a parental-leaving Greg Kumparak. Listen, we’v"
Does usage-based pricing call for a new growth infrastructure stack?,https://techcrunch.com/2023/02/04/does-usage-based-pricing-call-for-a-new-growth-infrastructure-stack/,"""It's not either usage-based or subscription pricing,” VC firm OpenView wrote in its second State of Usage-Based Pricing report. These hybrid approaches call for new tools, but which ones?"
Data hints at the value of startup offices,https://techcrunch.com/2023/02/04/data-hints-at-the-value-of-startup-offices/,"Data looks at whether having an office, at the earliest stages of company-building, truly does impact the bottom line."
When the government is the customer (some things to keep in mind),https://techcrunch.com/2023/02/03/when-the-government-is-the-customer/,"Five years ago, Google backed away from a Pentagon government contract because thousands of employees protested that its tech might be used for lethal drone targeting. Today, however, Silicon Valley h"
Kapor Capital’s new crew is raising an opportunity fund,https://techcrunch.com/2023/02/03/kapor-capitals-new-crew-is-raising-an-opportunity-fund/,"Four months after closing its largest fund to date, Kapor Capital wants more. The firm is under new leadership after co-founders Freada and Mitch Kapor stepped back from the outfit, which focuses on f"
Plant-based Rebellyous is raising millions to ‘rethink the nugget’,https://techcrunch.com/2023/02/03/rebellyous-raising-millions-rethink-chicken-nugget/,"Rebellyous, a startup that’s striving to build “a better chicken,” has raised at least $20 million in fresh funding, TechCrunch has learned. Based in Seattle, the venture-backed comp"
Meta’s Reality Labs lost $13.7 billion on VR and AR last year,https://techcrunch.com/2023/02/03/metas-reality-labs-lost-13-7-billion-on-vr-and-ar-last-year/,
"Elon Musk, Tesla found not liable in ‘funding secured’ tweet lawsuit",https://techcrunch.com/2023/02/03/elon-musk-tesla-found-not-liable-in-funding-secured-tweet-lawsuit/,Elon Musk was found not liable in a class-action securities fraud trial that centered on the Tesla CEO’s now infamous “funding secured” tweet. After less than 90 minutes of deliberat
